,score
HUBUSL3,0.9912195205688477
PUJHCK2,0.5955743193626404
HXHOMTE1,0.5612453818321228
HEHOMTE3,0.5284263491630554
PTOT,0.4350629150867462
PUDWCK2,0.35584408044815063
HENOTV9,0.34085676074028015
PRUNTYPE,0.3394147753715515
PXLAPTOP,0.3236335813999176
HXWEARAB,0.31638556718826294
PEAFWHN4,0.3131483197212219
HXINELHO,0.306257039308548
HXHNETQL,0.2850465178489685
HENOTV12,0.2634204924106598
HXDESKTP,0.2578059434890747
HXHNETST,0.2462269514799118
PXWEARAB,0.24342620372772217
PXESRVCS,0.24321913719177246
PXDW4WK,0.23791605234146118
PXNATVTY,0.23271749913692474
PELAYAVL,0.2294141948223114
HXPRINOH,0.22856086492538452
HEINELHO,0.22645770013332367
PUHRCK3,0.22060514986515045
HXMOBDAT,0.21071235835552216
HXMEDINF,0.21026302874088287
HUBUSL1,0.20278675854206085
PXNLFRET,0.2018929421901703
PXTABLET,0.1990766078233719
PXIO2ICD,0.1972591131925583
HENOHM6,0.1972060650587082
HXTABLET,0.1890631914138794
PXLAYFTO,0.1825464516878128
PEABSPDO,0.1806192696094513
HEPSCYBA,0.17986513674259186
HUTYPB,0.17132684588432312
PXNETCK2,0.1711268573999405
PXPAR1,0.170469269156456
PELKM1,0.17020122706890106
HEDEVQUA,0.16962243616580963
PEIO2COW,0.16947822272777557
HRNUMHOU,0.16914722323417664
PULAYCK1,0.16704925894737244
HEMEDDOC,0.16595453023910522
HXLAPTOP,0.16569609940052032
PXERNH2,0.16237162053585052
HENOTV5,0.16087335348129272
HELOPRCE,0.16035789251327515
HEMPHONE,0.1584983617067337
PXLKLWO,0.15809957683086395
PRDTOCC2,0.15719692409038544
HENOTV11,0.15586428344249725
HETVBOX,0.15561002492904663
HRLONGLK,0.15213841199874878
HEMEDMON,0.1518268883228302
HEPREVTV,0.15182378888130188
HEPRINOH,0.1517142504453659
PELKAVL,0.15066032111644745
HWHHWTLN,0.14967665076255798
HEMOBDAT,0.14782997965812683
PXPAR2TYP,0.14762116968631744
PXHSPNON,0.14697107672691345
PRNLFSCH,0.14635147154331207
PULKM3,0.14532418549060822
PRABSREA,0.1451544165611267
PXRRP,0.1450791209936142
PULAY6M,0.14459188282489777
HEINCAFE,0.14454519748687744
PRDASIAN,0.14331883192062378
HXTELAVL,0.14276760816574097
PXINSCHL,0.1424059122800827
PELAYDUR,0.14169375598430634
GTCBSA,0.14036163687705994
GTINDVPC,0.14035792648792267
HENOHM3,0.1403370052576065
HUBUS,0.14026106894016266
HURESPLI,0.14008265733718872
HETRADTV,0.13877888023853302
HENOTV1,0.13773176074028015
PTDTRACE,0.13757546246051788
PXHRUSL1,0.13755956292152405
PRDTCOW2,0.13694263994693756
GTCBSASZ,0.13428589701652527
HEEVRHOM,0.13415460288524628
PEINOTHR,0.13366280496120453
PXINELHO,0.1325228214263916
PUBUSCK4,0.1323295533657074
PXDISEAR,0.1320568174123764
PUJHCK3,0.13129012286663055
HEINOTHR,0.13071052730083466
HUBUSL2,0.13035988807678223
PUDIS2,0.13023695349693298
