,score
HENOHM6,1.9343525171279907
PXIO2ICD,1.765209436416626
PELKAVL,0.9899652004241943
PXERN,0.9341703653335571
HXINELHO,0.8772128820419312
HXLOPRCE,0.7445441484451294
PELAYLK,0.720832109451294
HXEVRHOM,0.6694664359092712
PXDISEYE,0.6515266299247742
HEPRINOH,0.6494253277778625
HENOTV9,0.6097511053085327
HEPSCYBA,0.601773202419281
PULAYCK2,0.5646803975105286
PXDISREM,0.5489928126335144
PRDTCOW2,0.5443511605262756
HUBUSL2,0.5142815113067627
HXPSPRE1,0.4901609420776367
PUJHCK5,0.4825504720211029
PXINHOME,0.45489734411239624
PXINSCHL,0.4510626792907715
HEMEDMON,0.448462575674057
HXPRINOH,0.4221322238445282
PREXPLF,0.4161309599876404
PXNETCK2,0.4115135669708252
HETRADTV,0.4112437069416046
HEHMINT2,0.40180355310440063
HENOTV6,0.39392969012260437
HENOTV12,0.3934101164340973
HXTENURE,0.3933701515197754
HEDEVSTA,0.3912425637245178
HXINHOME,0.38190487027168274
PXERNH2,0.37739235162734985
HEINLICO,0.37399908900260925
PELAYDUR,0.36969760060310364
HENOHM7,0.36589640378952026
HXNOHM1,0.3625485897064209
HUBUSL1,0.3618941009044647
HEHOMTE3,0.3558543622493744
HEINOTHR,0.35480359196662903
HEHNETQL,0.35169994831085205
PRDASIAN,0.350534588098526
HXTELAVL,0.3480999171733856
PXSCHENR,0.3477880358695984
PXHRUSL1,0.34704074263572693
PXMPHONE,0.3434630036354065
PELKLWO,0.3403184711933136
PRDTOCC2,0.33765676617622375
HEMEDINF,0.3307580053806305
PUJHCK3,0.3291834890842438
PRPERTYP,0.3290834128856659
PEPDEMP2,0.3246029019355774
PELKFTO,0.32330459356307983
HEMEDREC,0.3194607198238373
PXWEARAB,0.316679447889328
HEINSCHL,0.31536829471588135
PELAYAVL,0.31514689326286316
GTMETSTA,0.3145191967487335
STATE,0.3140341341495514
PXDISEAR,0.3115987777709961
HUBUSL3,0.3112279176712036
PEIO2COW,0.31102991104125977
PXINLICO,0.3108607232570648
HENOTV1,0.3107093870639801
HXDESKTP,0.31006932258605957
PXNATVTY,0.30941110849380493
HXPREVTV,0.3059864044189453
PXMLR,0.30494844913482666
PXDESKTP,0.30314183235168457
PEABSPDO,0.302961528301239
PXCERT1,0.3004457950592041
HWHHWTLN,0.2989225685596466
HENETCHK,0.2961568236351013
HXPSCON1,0.29605865478515625
PEERNUOT,0.2927080988883972
PXINTRAV,0.2920743525028229
PRFTLF,0.2917516231536865
PULKAVR,0.2911042869091034
PXTVBOX,0.29001283645629883
HEHOMTE2,0.2897320091724396
HEINCAFE,0.28888529539108276
HRNUMHOU,0.28887906670570374
QSTNUM,0.2884322702884674
HEHNETST,0.28809648752212524
HEDEVQUA,0.2876932919025421
PXRET1,0.28541988134384155
HURESPLI,0.28482455015182495
HENOTV4,0.28446996212005615
HETVBOX,0.2843691408634186
PXRACE1,0.28209418058395386
GESTFIPS,0.28100770711898804
HETABLET,0.28004923462867737
HUBUS,0.2785254418849945
PXINUSYR,0.27684953808784485
HENOHM1,0.2747590243816376
HEINELHO,0.27251043915748596
HEPREVTV,0.2695935368537903
HEINTRAV,0.2670794725418091
HEWEARAB,0.2644132971763611
HEMEDDOC,0.26264700293540955
PUIOCK2,0.2615273594856262
PEAFWHN3,0.2604725956916809
PXAFEVER,0.25849664211273193
UNEMPTYPE,0.25743353366851807
PUBUS2OT,0.2567342519760132
PXINELHO,0.2554621696472168
HXFAMINC,0.253374844789505
HELAPTOP,0.2533736526966095
HEDESKTP,0.2530451714992523
HENOTV11,0.2527026832103729
PULKM4,0.25136542320251465
PXHRAVL,0.25085127353668213
PULKM3,0.2494165450334549
PXNLFRET,0.24830587208271027
PXINOTHR,0.24805442988872528
PULAYDT,0.24796763062477112
HUFINAL,0.24721598625183105
HENOTV2,0.24596022069454193
HUPRSCNT,0.2458825409412384
HETELHHD,0.24578900635242462
HENOTV10,0.24342884123325348
PXFNTVTY,0.24309855699539185
GTCSA,0.24141032993793488
HRLONGLK,0.2388390302658081
PULKM2,0.2387586086988449
PXCOHAB,0.23868335783481598
GTCBSA,0.23674319684505463
PELAYFTO,0.23393243551254272
HXDEVSTA,0.23343123495578766
PEDWWNTO,0.23327435553073883
PULAY6M,0.2324579358100891
HENOTV8,0.2317596822977066
PEMNTVTY,0.23151087760925293
PEHRRSN1,0.23143379390239716
HXINLICO,0.23089401423931122
PEERNWKP,0.23037338256835938
PULAYCK1,0.2294510453939438
GTCBSASZ,0.22867727279663086
HENOHM10,0.2276187241077423
PEERNPER,0.22637531161308289
PUDIS2,0.2258261889219284
PXNMEMP1,0.22502398490905762
HENOTV5,0.22484035789966583
PXAFNOW,0.22170192003250122
HUINTTYP,0.22109070420265198
GTINDVPC,0.22072026133537292
PXDWRSN,0.2199016511440277
HWHHWGT,0.21969006955623627
HRHHID2,0.2184525728225708
GTCBSAST,0.21831977367401123
HXWEARAB,0.21793228387832642
HEMPHONE,0.21723560988903046
HXHOMTE1,0.2170930951833725
PRDTHSP,0.21559056639671326
PRWKSTAT,0.21516144275665283
PXHSPNON,0.21508003771305084
HELOPRCE,0.2139306217432022
PXAGE,0.21160084009170532
HXTRADTV,0.21157114207744598
PXHRWANT,0.21082524955272675
PULKPS2,0.21043625473976135
HEINWORK,0.20964419841766357
HXMPHONE,0.20878924429416656
HEHOMTE4,0.2068646252155304
HXINSCHL,0.20452278852462769
PEFNTVTY,0.2011524885892868
HENOTV7,0.19978700578212738
PXMARITL,0.1994074434041977
PUHRCK1,0.19832469522953033
PEINELHO,0.19709986448287964
HRHTYPE,0.19696643948554993
HEHOMTE1,0.19676487147808075
GTCO,0.19587846100330353
PEDWRSN,0.1953582763671875
HETELAVL,0.1943436563014984
HXPSCYBA,0.19402967393398285
PTDTRACE,0.19313952326774597
HXMOBDAT,0.1927180290222168
GEREG,0.19238871335983276
HXINWORK,0.19238440692424774
HEEVRHOM,0.190878763794899
PENLFJH,0.18834012746810913
PUDWCK4,0.1875198930501938
PUBUSCK4,0.18724064528942108
PXLAPTOP,0.1871492713689804
PEDISPHY,0.1866081953048706
PEDESKTP,0.18606626987457275
HEFAMINC,0.18576569855213165
HEHMINT1,0.1840430498123169
PXHRRSN3,0.18380619585514069
HEHOUSUT,0.18322861194610596
HEINHOME,0.18319988250732422
PXERNH1O,0.18010938167572021
PUDIS,0.17920643091201782
HRMIS,0.1779719591140747
PRINUYER,0.17729341983795166
PETVBOX,0.17718735337257385
PEAFWHN2,0.17657840251922607
PXCERT2,0.17598414421081543
PESCHFT,0.17558076977729797
PEHGCOMP,0.1746196746826172
PEABSRSN,0.174371138215065
PRABSREA,0.17408448457717896
PEINOTHR,0.1735781580209732
PXDISPHY,0.17249123752117157
PUJHCK1,0.17159704864025116
PRNAGWS,0.17025086283683777
PRCITSHP,0.1697678416967392
PUABSOT,0.16972774267196655
HENOTV3,0.16915224492549896
PEINCAFE,0.1682208627462387
PXTABLET,0.16778703033924103
PTERNH1O,0.16280287504196167
PECOHAB,0.16175910830497742
PUBUSCK1,0.1612768918275833
PTWK,0.1610579490661621
PXHGCOMP,0.1607304960489273
HENOHM2,0.16037443280220032
PEHRRSN2,0.1586906760931015
PXECOMME,0.15846672654151917
HXINTRAV,0.15844953060150146
PXINCAFE,0.15792115032672882
PUCHINHH,0.1572243720293045
PWLGWGT,0.15710550546646118
HXTELHHD,0.15694737434387207
PEWEARAB,0.1566801220178604
PXMNTVTY,0.15466506779193878
HETENURE,0.1542101353406906
HXMEDDOC,0.154110386967659
PUDIS1,0.15388746559619904
PEDISEYE,0.15371863543987274
PEVOICEA,0.15367719531059265
PELKLL2O,0.15257935225963593
PUIODP3,0.1523105800151825
PEHRACT2,0.15034952759742737
PULKPS1,0.14972619712352753
PXTEXTIM,0.1494157463312149
PRPTREA,0.14921852946281433
HUBUSL4,0.14913983643054962
PEPAR1,0.14876697957515717
PXDISOUT,0.14822377264499664
PXSCHLVL,0.14732635021209717
PRFAMTYP,0.14590328931808472
EDUCDT,0.14588019251823425
PUBUS1,0.14472270011901855
PEPAR2TYP,0.14467720687389374
HRHHID,0.14348933100700378
PEAUDIO,0.142151340842247
PEINWORK,0.1421394646167755
PRDTOCC1,0.14168237149715424
PECERT2,0.140863299369812
PENATVTY,0.14034146070480347
PUIO1MFG,0.1401510089635849
HXLAPTOP,0.14004145562648773
PRHRUSL,0.14003725349903107
PTERNH2,0.13991118967533112
PURETOT,0.13942353427410126
PELKDUR,0.13917195796966553
PEPUBLISH,0.13912497460842133
PREMPHRS,0.13847865164279938
PERET1,0.13844463229179382
PESOCIAL,0.13807407021522522
PRPTHRS,0.1379280835390091
PEERNRT,0.13781800866127014
PWORWGT,0.13753388822078705
HXTABLET,0.13726350665092468
PXEDUCA,0.13724423944950104
PRCOWPG,0.13698996603488922
PEMPHONE,0.13634942471981049
HXMEDMON,0.13577714562416077
PEPDEMP1,0.13526445627212524
PXNLFJH,0.1348573863506317
PEINSCHL,0.13432957231998444
PEJHRSN,0.1343211829662323
PRNMCHLD,0.1340019404888153
PULK,0.13387656211853027
PUBUSCK3,0.13330474495887756
PUNLFCK2,0.13301639258861542
PEHRRSN3,0.13292276859283447
PXCYC,0.1324019432067871
PUDWCK2,0.13220925629138947
PXERNRT,0.1321316957473755
PUNLFCK1,0.13205285370349884
PWFMWGT,0.13201622664928436
PXPAR2TYP,0.13197828829288483
HXINCAFE,0.13181330263614655
PXERNWKP,0.13174764811992645
PUHROT2,0.1301644891500473
PUDWCK5,0.1287129521369934
PRCHLD,0.12851063907146454
HENOHM4,0.12813295423984528
PEEGOODS,0.12807901203632355
PXPAR2,0.12766455113887787
PXPDEMP2,0.12663857638835907
PEDISDRS,0.12572018802165985
PEINLICO,0.12562860548496246
PEHRACTT,0.12561722099781036
PEERNHRO,0.12536197900772095
PXERNUOT,0.12517912685871124
PRWNTJOB,0.12509320676326752
HXNOTV1,0.12499897927045822
PELAPTOP,0.12491188943386078
PXHRFTPT,0.12475728988647461
PECYC,0.12423903495073318
PEEDTRAI,0.12411526590585709
HENOHM3,0.12266127020120621
PXVOICEA,0.12260115146636963
HEPHONEO,0.12203439325094223
PRWKSCH,0.12195973098278046
PRTAGE,0.12169869989156723
PEGAMING,0.12074971944093704
PENLFRET,0.12054402381181717
PEMJNUM,0.119725801050663
PEHRUSL2,0.11881083995103836
PEDISREM,0.11834406852722168
PECONFER,0.11638228595256805
PESCHLVL,0.11613545566797256
PUHROFF2,0.1160987988114357
PEAFWHN4,0.11597487330436707
PEINTRAV,0.11577560752630234
PXRRP,0.11542370915412903
PEDISEAR,0.11542243510484695
PTIO2OCD,0.11492358893156052
