,score
HEPSCYBA,4.2215895652771
HENOHM7,2.591156005859375
HEPREVTV,2.009629726409912
HENOHM3,1.8282785415649414
PXDISPHY,1.7875128984451294
HENOTV9,1.738529920578003
HEMEDREC,1.5635333061218262
HENOTV4,1.5032505989074707
HENOHM1,1.403378963470459
HEMEDINF,1.2470287084579468
HEPRINOH,1.2387094497680664
PXINLICO,1.2134416103363037
HENOTV6,1.1938096284866333
HEHOMTE3,1.186814785003662
PXINELHO,1.1626384258270264
HEINTRAV,1.1623761653900146
HXPREVTV,1.157568097114563
HENOHM6,1.1014339923858643
HXLOPRCE,1.0920438766479492
PEERNUOT,1.0792776346206665
PXDESKTP,1.0515040159225464
PXWEARAB,1.0279014110565186
STATE,1.0185391902923584
HXMEDMON,1.0150632858276367
HEHMINT1,1.0139522552490234
HXTRADTV,1.0067756175994873
HENOTV3,1.0008206367492676
PXDISREM,0.9986023306846619
GTMETSTA,0.9814624190330505
PXDISDRS,0.9693191647529602
HEINELHO,0.9603911638259888
HELAPTOP,0.9593026041984558
HEINSCHL,0.9530094265937805
PXTEXTIM,0.9370872974395752
PREMP,0.9068039059638977
PXSCHENR,0.9035188555717468
HXMEDDOC,0.9034928679466248
GTCBSASZ,0.900249183177948
PXNETCK2,0.900011420249939
HENOTV10,0.8784134387969971
HEHOMTE1,0.8740341067314148
HEDEVQUA,0.8735203742980957
HENOTV8,0.8702629208564758
PRJOBSEA,0.8511924147605896
PRUNTYPE,0.8500085473060608
PRCITSHP,0.8474614024162292
HEDESKTP,0.8453771471977234
PEABSPDO,0.841042697429657
HUINTTYP,0.8241916298866272
HEINWORK,0.8200189471244812
PXLAPTOP,0.8188309073448181
HEMOBDAT,0.8101847171783447
HEHOMTE4,0.8097897171974182
PULAYDT,0.8081448674201965
HENOTV5,0.8044701218605042
HEINCAFE,0.8022608757019043
HXHNETST,0.7945809960365295
PXFNTVTY,0.7935582399368286
HENOTV11,0.7861312627792358
HXNOTV1,0.7857153415679932
PXDISEAR,0.7837594747543335
HEWEARAB,0.7809529900550842
HEHMINT2,0.7752104997634888
HEDEVSTA,0.7717427015304565
HENOHM4,0.7679506540298462
HXMEDREC,0.7674493789672852
HEINLICO,0.7596296668052673
HXINELHO,0.7594794631004333
HEMEDDOC,0.7584681510925293
REGION,0.7584254741668701
PXPAR2TYP,0.7574983835220337
GTCO,0.7562450170516968
PXRACE1,0.7492607831954956
HENOTV12,0.747584342956543
PXINCAFE,0.746573805809021
HETELHHD,0.7444804310798645
HETABLET,0.7431584596633911
PRDASIAN,0.7418913245201111
HEHNETST,0.7365587949752808
HENOHM5,0.7353646159172058
PXTABLET,0.7289639711380005
HRNUMHOU,0.7257782816886902
HXINSCHL,0.7191746830940247
HXEVRHOM,0.718734860420227
PRIMIND1,0.7167838215827942
PXNLFRET,0.7149126529693604
PXGAMING,0.7126773595809937
HEINOTHR,0.7057663202285767
PXMPHONE,0.7042993307113647
HXINOTHR,0.7028194665908813
QSTNUM,0.6995862722396851
HUFINAL,0.6987776756286621
HEHOMTE2,0.694364607334137
PUDWCK4,0.693625807762146
PRINUYER,0.6931253671646118
