,score
HXEVRHOM,1.6182891130447388
PREXPLF,1.3803448677062988
HXPRINOH,1.305176854133606
HEPSCYBA,1.133739948272705
HXTENURE,1.0781855583190918
HENOHM5,1.0513136386871338
PRDTCOW2,0.9246676564216614
PXDWLKO,0.9038801193237305
HEHOMTE3,0.8515341877937317
HEPRINOH,0.8309473395347595
HXHNETQL,0.8187677264213562
PXINOTHR,0.7839550971984863
HENOHM4,0.7478632926940918
HXLOPRCE,0.7367712259292603
HXINHOME,0.7229951024055481
HUBUSL2,0.6791591048240662
PXMPHONE,0.6689099669456482
HEINSCHL,0.6626914739608765
HEDEVSTA,0.6414463520050049
PXINELHO,0.6409231424331665
HEMEDINF,0.639591634273529
PULAYCK2,0.639548659324646
PXHRACT1,0.6301762461662292
PXINSCHL,0.6237533092498779
PEDWAVL,0.616405725479126
HEMEDREC,0.607998251914978
HXINOTHR,0.6029441952705383
HXINCAFE,0.5891975164413452
HEHNETQL,0.5823474526405334
HENOTV7,0.5773448944091797
PTNMEMP2,0.5743507146835327
HEINLICO,0.5558778643608093
HEHOMTE4,0.5520979762077332
HENOHM7,0.5476794242858887
PXHRUSL1,0.5445696711540222
HENOTV9,0.5418492555618286
PXINHOME,0.5354158282279968
PXWEARAB,0.5338947176933289
PXDISREM,0.5188042521476746
PXHSPNON,0.5127776265144348
GTMETSTA,0.5125184655189514
HENOTV10,0.5117758512496948
PXDESKTP,0.5016456842422485
PXINTRAV,0.4964739978313446
HXTELAVL,0.4961445927619934
HEINCAFE,0.4882422387599945
PXERNH2,0.4878483712673187
HENOTV12,0.4832061231136322
PUBUSCK2,0.4796871840953827
PELAYAVL,0.46547889709472656
STATE,0.4649603068828583
HXTELHHD,0.45315369963645935
HEINOTHR,0.4524897038936615
HUBUSL1,0.45217984914779663
PXINLICO,0.4519723057746887
PXERN,0.45106592774391174
HENOTV1,0.45042964816093445
HETRADTV,0.4454393684864044
PEABSPDO,0.4437985420227051
HENOTV3,0.4416831135749817
PXSCHENR,0.4396720230579376
HEHNETST,0.43792724609375
HXTVBOX,0.4354933500289917
HEINTRAV,0.4338114261627197
PXRACE1,0.4316606819629669
PXDISEAR,0.430012583732605
HEINELHO,0.4263245463371277
PXINUSYR,0.42509207129478455
PXNETCK2,0.4222640097141266
MARRIED,0.4182921350002289
HRNUMHOU,0.41733047366142273
PXFNTVTY,0.41613778471946716
HENOTV4,0.4160770773887634
PELAYLK,0.414442777633667
HEMEDMON,0.4133980870246887
HEMPHONE,0.41270574927330017
HEPREVTV,0.40547648072242737
PEERNLAB,0.3912542164325714
HEMEDDOC,0.3886823356151581
HELAPTOP,0.3819914758205414
PELKLL1O,0.3816336691379547
HEDESKTP,0.3812420666217804
QSTNUM,0.3796018660068512
PUIO2MFG,0.37490203976631165
HXINLICO,0.3743807077407837
HUPRSCNT,0.3706080913543701
PEPDEMP2,0.3697631359100342
PRDASIAN,0.3693428635597229
HEDEVQUA,0.36264076828956604
PTDTRACE,0.3624231815338135
HXINWORK,0.3618779480457306
HXNOHM1,0.36089563369750977
HEHMINT1,0.3604273796081543
PXEDUCA,0.36009159684181213
PXMARITL,0.35982441902160645
PEFNTVTY,0.3582790195941925
HENOTV6,0.35610806941986084
HUINTTYP,0.3538048267364502
HRLONGLK,0.353339284658432
HENOTV8,0.3483662009239197
HEMOBDAT,0.34709975123405457
HENOTV2,0.34652894735336304
PEHRACT2,0.34566888213157654
GTINDVPC,0.34456098079681396
HETABLET,0.34442609548568726
PUDWCK1,0.3441026508808136
GTCBSA,0.3439125418663025
PXDISPHY,0.34388506412506104
PXHRAVL,0.3434676229953766
GTCSA,0.3430770933628082
PXSEX,0.34158018231391907
HEHOMTE2,0.34066787362098694
PXINCAFE,0.34012332558631897
PXERNWKP,0.33918121457099915
PXPAR2,0.3390235900878906
PRNAGWS,0.3355509340763092
PRDTIND2,0.3341335356235504
HRHHID2,0.3334759473800659
HETVBOX,0.33336231112480164
PULKM2,0.3322136402130127
PEABSRSN,0.3308315873146057
HXFAMINC,0.32931193709373474
PXLAPTOP,0.3290458619594574
PXMNTVTY,0.3280947208404541
PRDISC,0.32270678877830505
HXPSCYBA,0.3217010796070099
GEDIV,0.3206000030040741
HEHOMTE1,0.31870079040527344
HENOHM1,0.31781354546546936
PRNLFSCH,0.316212922334671
HEINWORK,0.31409919261932373
HXHOMTE1,0.3125377893447876
HXMEDMON,0.3124043643474579
PXVIDEO,0.3119204640388489
HENETCHK,0.30545833706855774
GTCO,0.30406495928764343
HXPREVTV,0.30393508076667786
PXNATVTY,0.30248361825942993
HXPSCON1,0.30171453952789307
GTCBSAST,0.30074331164360046
PXERNUOT,0.2999720573425293
HWHHWTLN,0.2991868257522583
HUFINAL,0.2984490394592285
PTWK,0.2980334758758545
HEHMINT2,0.29792705178260803
HXDEVQUA,0.2970278561115265
PEHRRSN1,0.29554226994514465
PULKPS1,0.29370245337486267
HXMEDREC,0.2917082905769348
HEWEARAB,0.29155874252319336
PEDWAVR,0.29078197479248047
PELKDUR,0.2907413840293884
HELOPRCE,0.2901655435562134
HEHOUSUT,0.2899303138256073
PEINELHO,0.2882808744907379
HENOTV11,0.28816717863082886
PUBUS1,0.2857206463813782
HWHHWGT,0.28479260206222534
PXRRP,0.28235599398612976
PRWKSCH,0.28210362792015076
PUNLFCK2,0.28155556321144104
PXJHWKO,0.2811114192008972
HXMEDDOC,0.28090205788612366
HURESPLI,0.28033608198165894
PRDTHSP,0.27996188402175903
HUBUS,0.279881089925766
GTCBSASZ,0.27961495518684387
PXTABLET,0.27878913283348083
HRMIS,0.2780073285102844
PENLFJH,0.27777376770973206
PEINOTHR,0.2758884131908417
PRNMCHLD,0.2719810903072357
PEAUDIO,0.270918071269989
GESTFIPS,0.270206093788147
PEJOBSCH,0.27009665966033936
PXERNRT,0.2699415683746338
PELKFTO,0.2678445875644684
PULK,0.26766619086265564
HRHTYPE,0.2674887478351593
PELKM1,0.2673800587654114
PXAGE,0.2667640447616577
PELAPTOP,0.2650282382965088
HXINELHO,0.26482126116752625
PXDISEYE,0.2635449767112732
HETELHHD,0.2616886794567108
PEERNCOV,0.25999513268470764
PRPTREA,0.257882684469223
PEINCAFE,0.25784391164779663
HEFAMINC,0.25776976346969604
PEINLICO,0.256666362285614
PELAYFTO,0.2563875913619995
PXERNHRY,0.25479432940483093
PXTELEWK,0.25370749831199646
PEERNRT,0.2527027726173401
PEINWORK,0.25256407260894775
HETENURE,0.2522363066673279
HETELAVL,0.25200778245925903
PECYC,0.2491586059331894
PXERNH1O,0.24864821135997772
PUABSOT,0.24841994047164917
PUHRCK2,0.24820689857006073
PEAFWHN3,0.2466641664505005
PXIO1ICD,0.24662458896636963
HXLAPTOP,0.24362757802009583
PRIMIND1,0.24285748600959778
PTERNH2,0.2404758781194687
PWORWGT,0.23941640555858612
PEDESKTP,0.23675458133220673
PRUNTYPE,0.2360137403011322
HXNOTV1,0.23539415001869202
PEMNTVTY,0.23523591458797455
PEEDTRAI,0.234959214925766
PXTVBOX,0.23400552570819855
PUIODP2,0.23372870683670044
HXMEDINF,0.23326776921749115
PEJHWANT,0.22973264753818512
PTERNHLY,0.2292546182870865
PUWK,0.22870545089244843
PXMJOT,0.22782668471336365
PELAYDUR,0.2277677059173584
PECERT3,0.22753040492534637
PRDISFLG,0.22723951935768127
HEPHONEO,0.2267240285873413
EDUCDT,0.22639979422092438
PEAFWHN2,0.22637046873569489
PXCERT3,0.22635109722614288
PXERNCOV,0.22471864521503448
PULAY6M,0.22367005050182343
PEPAR1TYP,0.22314892709255219
PEHRUSL2,0.223013237118721
PULKM4,0.22258822619915009
PXCONFER,0.2221800535917282
PEDWLKO,0.22149275243282318
PXINWORK,0.21900121867656708
PUHROFF1,0.2184426635503769
HRHHID,0.2176719307899475
PXCOHAB,0.2164866328239441
HXINSCHL,0.2163752019405365
PEHRACTT,0.21634052693843842
PUHROFF2,0.2154933214187622
HXHNETST,0.2151181697845459
HENOTV5,0.21506699919700623
PERET1,0.2150193750858307
PRINUYER,0.21395285427570343
PEIO2COW,0.21393166482448578
PEHRRSN2,0.21367259323596954
PEIO1COW,0.21303994953632355
HENOHM2,0.21151360869407654
UNEMPTYPE,0.21140645444393158
PELKAVL,0.2108549028635025
PEEGOODS,0.21006760001182556
PXCERT1,0.20974993705749512
PRCOWPG,0.2091217041015625
PEINTRAV,0.20887558162212372
PRFAMTYP,0.20739461481571198
PRWKSTAT,0.20624615252017975
PEDISREM,0.2059447318315506
PECOHAB,0.20543180406093597
PETVBOX,0.20497852563858032
PEPDEMP1,0.20469285547733307
PUIOCK1,0.20423297584056854
PEINSCHL,0.20293095707893372
HXTRADTV,0.2026493400335312
PEDISOUT,0.20173102617263794
PEHRAVL,0.20152363181114197
PUDIS1,0.20103734731674194
PETABLET,0.20083795487880707
SCHOOL,0.19842347502708435
PXHGCOMP,0.1980588436126709
PXCYC,0.19679142534732819
PUDWCK3,0.19548764824867249
GEREG,0.1951809674501419
PENATVTY,0.19474974274635315
PUHROT2,0.19427460432052612
PRPTHRS,0.19402828812599182
PXHRRSN2,0.1939924657344818
PEESRVCS,0.1926865428686142
PWLGWGT,0.19266827404499054
PUIO1MFG,0.191909059882164
PEMARITL,0.19141602516174316
PUCHINHH,0.19092229008674622
HXMOBDAT,0.19067810475826263
PXUSESVC,0.19037707149982452
PUDIS,0.19030943512916565
PESOCIAL,0.18967874348163605
PXHRACTT,0.18934188783168793
PEAFEVER,0.1892745941877365
PTERN,0.18909478187561035
PEEGOVTS,0.18860162794589996
PUBUSCK4,0.18858914077281952
